lowongan_id,umkm_id,nama_produk,deskripsi,budget,minimal_followers,status_lowongan,kategori,batas_waktu_lowongan,batas_waktu_pengerjaan
1,1,Bakso Mamat,Gurih,10000,100,diambil,,,
2,1,Mie Ayamz,Maniez,90000,10,diambil,,,
3,15,WanCoffee & Food,Kopi susu buat anak kuliah,8000,1000,belum diambil,,,
4,8,Cilung amntap,beuhh enak,1000000,2000000,belum diambil,,,
5,8,baso uhuy,mantafff,10000000,500000,diambil,,,
6,5,Nasi Goreng,Sedap dan mantapp,1000000,100000,diambil,,,
7,8,es krim,lezatos,100000,200000,diambil,,,
8,19,basko mecron,enak banget,10000000,10000,belum diambil,,,
9,8,Batagor,enak pisan aseliii,200000,1000000,belum diambil,,,
10,3,Bakso Mercon,Enak banger,500000,1000,belum diambil,,,
11,1,Bola Ayam,"Adonan bulat yang terbuat dari tepung dan ayam, diharapkan promosi dapat dilakukan dengan jujur dan membangun",250000,10000,belum diambil,Makanan ringan,7,3
12,1,Cilok bojot,Cilok dengan saus pedas banget,50000,1000,belum diambil,Jajanan,5,3
13,1,Cimol bojot aa,Cimol enak bangets,35000,2500,belum diambil,Jajanan,3,2
14,1,Procuk testink,Cemilan dengan bahan kopi luwak,19000000,5000000000,belum diambil,Cemilan,21,3
15,1,Produk asli,Testing lowongan asli ini mah real madrid vamos,125000,25000,belum diambil,Aseli,15,7
16,1,Mie,Mie dari berbagai jenis yang sangat mantaf,2000000,23000,belum diambil,Makanan ringan,2,1
17,1,Kopi,Kopi yang sangat bisa dikenang,30000,1200,belum diambil,Minuman,12,4
18,1,Teh,Teh asli dari pucuk yang paling tinggie,30500,2400,belum diambil,Minuman,7,7
